Day;Animals;Plants;FreeSpots;DNA;AvgEnergy;AvgLifespan;AvgKidsCount
0;6;3;17;[1, 7, 3, 5, 5, 7, 6];20,00;0,00;0,00
1;7;5;15;[1, 7, 3, 5, 5, 7, 6];14,86;0,00;0,29
2;7;6;12;[1, 7, 3, 5, 5, 7, 6];12,43;0,00;0,29
3;7;6;12;[1, 7, 3, 5, 5, 7, 6];9,71;0,00;0,29
4;7;5;13;[1, 7, 3, 5, 5, 7, 6];7,57;0,00;0,29
5;6;4;15;[1, 7, 3, 5, 5, 7, 6];6,00;4,00;0,33
6;5;6;14;[1, 7, 3, 5, 5, 7, 6];3,80;5,00;0,20
7;4;7;14;[7, 7, 6, 3, 1, 2, 7];1,00;5,67;0,00
8;0;8;17;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
9;0;9;16;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
10;0;11;14;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
11;0;11;14;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
12;0;12;13;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
13;0;13;12;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
14;0;13;12;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
15;0;17;8;[7, 7, 6, 3, 1, 2, 7];0,00;7,00;0,00
